Number Of Points, Random Points (Simple), Random Points (Slow), Random Points (Fast), Hex Points (Simple), Hex Points (Slow), Hex Points (Fast), Mixed Points (Simple), Mixed Points (Slow), Mixed Points (Fast)
2, 1.4, 1.43333, 1.66667, 0.666667, 1.06667, 1.13333, 0.866667, 1.23333, 1.06667, 
4, 2.13333, 4.96667, 5.23333, 1.23333, 3.96667, 3.9, 1.33333, 3.96667, 4.03333, 
8, 5.76667, 12.3, 12.9, 4.13333, 12.3333, 12.9333, 4.43333, 11.4333, 12.2, 
16, 17.6, 25.8, 28.9, 14.9333, 29.7667, 31.0333, 15.2, 24.7, 26.8333, 
32, 71.1333, 65.2333, 69.9, 64, 58.6333, 64.4333, 65.4667, 62.9667, 67.9333, 
64, 260.467, 124.467, 134.667, 238.167, 124.2, 135.467, 240.7, 117.767, 129.1, 
128, 1076.27, 293.633, 319.867, 1044.57, 284.967, 304.7, 1037.67, 271.233, 291.1, 
256, 4112.6, 565.6, 625.433, 3957.5, 556.967, 607.9, 3911.3, 558, 596.367, 
512, 17162.2, 1241.8, 1338.1, 16521.9, 1116.57, 1231.33, 16309.4, 1155.4, 1247.23, 
1024, 64222.5, 2342.07, 2576.9, 62291.1, 2345.8, 2511.07, 62422.8, 2226.27, 2424.13, 
2048, 263829, 4767.77, 5137.33, 255358, 4830.1, 5083.07, 256873, 4735.87, 5226.37, 
4096, 1.03078e+06, 9444.3, 10287, 998654, 9511.83, 10402.4, 995215, 9308.97, 10411.5, 
8192, 4.14202e+06, 19341.5, 21687.2, 4.001e+06, 19950.3, 21616.1, 4.04661e+06, 19780, 21855.9, 
16384, 1.70111e+07, 40452.4, 44695.9, 1.64255e+07, 41715.9, 46318.7, 1.65626e+07, 41618.5, 46301.1, 
32768, 6.45018e+07, 79142.1, 86834.3, 6.26141e+07, 80037.4, 89098.4, 6.28919e+07, 80559, 89048.5, 
